Time,kernel.all.cpu.sys,kernel.all.load["1 minute"],network.tcp.retranssegs,network.interface.out.bytes["eth0"],network.interface.in.bytes["eth0"],mem.util.used,mem.util.free,mem.util.cached,disk.dev.read["sda"],disk.dev.write["sda"]
none,millisec / second,none,count / second,byte / second,byte / second,Kbyte,Kbyte,Kbyte,count / second,count / second
Mon Mar  7 02:01:40,19.000,0.000,1.000,18875371.000,200340.000,920676.000,817320.000,646596.000,0.000,0.000
Mon Mar  7 02:01:41,19.000,0.000,0.000,18875370.000,200340.000,920676.000,817320.000,646596.000,0.000,1.000
Mon Mar  7 02:01:42,19.000,0.000,0.000,18875371.000,200341.000,920676.000,817320.000,646596.000,0.000,1.000
Mon Mar  7 02:01:43,14.000,0.000,0.000,16044283.000,172655.000,920676.000,817320.000,646604.000,0.000,0.000
Mon Mar  7 02:01:44,13.000,0.000,0.000,14911256.000,161577.000,920676.000,817320.000,646604.000,0.000,1.000
Mon Mar  7 02:01:45,13.000,0.000,0.000,14911256.000,161576.000,920676.000,817320.000,646604.000,0.000,0.000
Mon Mar  7 02:01:46,13.000,0.000,0.000,14911255.000,161576.000,920676.000,817320.000,646604.000,0.000,0.000
Mon Mar  7 02:01:47,13.000,0.000,0.000,14911256.000,161576.000,920676.000,817320.000,646604.000,0.000,1.000
Mon Mar  7 02:01:48,13.000,0.000,0.000,14911256.000,161577.000,920676.000,817320.000,646604.000,0.000,0.000
Mon Mar  7 02:01:49,13.000,0.000,0.000,14911256.000,161576.000,920676.000,817320.000,646604.000,0.000,1.000
Mon Mar  7 02:01:50,13.000,0.000,0.000,14911256.000,161576.000,920676.000,817320.000,646604.000,0.000,0.000
Mon Mar  7 02:01:51,13.000,0.000,0.000,14911256.000,161576.000,920676.000,817320.000,646604.000,0.000,0.000
Mon Mar  7 02:01:52,13.000,0.000,0.000,14911256.000,161577.000,920676.000,817320.000,646604.000,0.000,1.000
Mon Mar  7 02:01:53,20.000,0.000,0.000,13818757.000,148076.000,920676.000,817320.000,646608.000,0.000,0.000
Mon Mar  7 02:01:54,22.000,0.000,0.000,13381484.000,142673.000,920676.000,817320.000,646608.000,0.000,1.000
Mon Mar  7 02:01:55,22.000,0.000,0.000,13381484.000,142673.000,920676.000,817320.000,646608.000,0.000,0.000
Mon Mar  7 02:01:56,22.000,0.000,0.000,13381484.000,142673.000,920676.000,817320.000,646608.000,0.000,0.000
Mon Mar  7 02:01:57,22.000,0.000,0.000,13381485.000,142673.000,920676.000,817320.000,646608.000,0.000,1.000
Mon Mar  7 02:01:58,22.000,0.000,0.000,13381484.000,142673.000,920676.000,817320.000,646608.000,0.000,0.000
Mon Mar  7 02:01:59,22.000,0.000,0.000,13381484.000,142672.000,920676.000,817320.000,646608.000,0.000,1.000
Mon Mar  7 02:02:00,22.000,0.000,0.000,13381484.000,142673.000,920676.000,817320.000,646608.000,0.000,0.000
Mon Mar  7 02:02:01,22.000,0.000,0.000,13381484.000,142673.000,920676.000,817320.000,646608.000,0.000,0.000
Mon Mar  7 02:02:02,22.000,0.000,0.000,13381485.000,142673.000,920676.000,817320.000,646608.000,0.000,1.000
Mon Mar  7 02:02:03,20.000,0.000,0.000,13092858.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:04,19.000,0.000,0.000,12977355.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:05,19.000,0.000,0.000,12977356.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:06,19.000,0.000,0.000,12977356.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:07,19.000,0.000,0.000,12977356.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:08,19.000,0.000,0.000,12977356.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:09,19.000,0.000,0.000,12977356.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:10,19.000,0.000,0.000,12977355.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:11,19.000,0.000,0.000,12977356.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:12,19.000,0.000,0.000,12977356.000,142673.000,920676.000,817320.000,646624.000,0.000,1.000
Mon Mar  7 02:02:13,18.000,0.000,0.000,15549033.000,166292.000,921680.000,816316.000,646628.000,0.000,0.000
Mon Mar  7 02:02:14,18.000,0.000,0.000,16611064.000,176092.000,921680.000,816316.000,646628.000,0.000,1.000
Mon Mar  7 02:02:15,18.000,0.000,0.000,16611063.000,176091.000,921680.000,816316.000,646628.000,0.000,1.000
Mon Mar  7 02:02:16,18.000,0.000,0.000,16611064.000,176092.000,921680.000,816316.000,646628.000,0.000,1.000
Mon Mar  7 02:02:17,18.000,0.000,0.000,16611063.000,176091.000,921680.000,816316.000,646628.000,0.000,0.000
Mon Mar  7 02:02:18,18.000,0.000,0.000,16611064.000,176092.000,921680.000,816316.000,646628.000,0.000,1.000
Mon Mar  7 02:02:19,18.000,0.000,0.000,16611063.000,176091.000,921680.000,816316.000,646628.000,0.000,1.000
Mon Mar  7 02:02:20,18.000,0.000,0.000,16611064.000,176092.000,921680.000,816316.000,646628.000,0.000,0.000
Mon Mar  7 02:02:21,18.000,0.000,0.000,16611063.000,176092.000,921680.000,816316.000,646628.000,0.000,1.000
Mon Mar  7 02:02:22,18.000,0.000,0.000,16611064.000,176091.000,921680.000,816316.000,646628.000,0.000,1.000
Mon Mar  7 02:02:23,16.000,0.000,1.000,14056149.000,145376.000,921680.000,816316.000,646648.000,0.000,0.000
Mon Mar  7 02:02:24,16.000,0.000,3.000,13030481.000,133046.000,921680.000,816316.000,646648.000,0.000,1.000
Mon Mar  7 02:02:25,16.000,0.000,2.000,13030480.000,133045.000,921680.000,816316.000,646648.000,0.000,0.000
Mon Mar  7 02:02:26,16.000,0.000,2.000,13030481.000,133046.000,921680.000,816316.000,646648.000,0.000,0.000
Mon Mar  7 02:02:27,16.000,0.000,2.000,13030481.000,133045.000,921680.000,816316.000,646648.000,0.000,1.000
Mon Mar  7 02:02:28,16.000,0.000,2.000,13030480.000,133046.000,921680.000,816316.000,646648.000,0.000,0.000
Mon Mar  7 02:02:29,16.000,0.000,2.000,13030481.000,133045.000,921680.000,816316.000,646648.000,0.000,1.000
Mon Mar  7 02:02:30,16.000,0.000,2.000,13030480.000,133046.000,921680.000,816316.000,646648.000,0.000,0.000
Mon Mar  7 02:02:31,16.000,0.000,2.000,13030481.000,133045.000,921680.000,816316.000,646648.000,0.000,0.000
Mon Mar  7 02:02:32,16.000,0.000,2.000,13030481.000,133045.000,921680.000,816316.000,646648.000,0.000,1.000
Mon Mar  7 02:02:33,19.000,0.000,1.000,17858530.000,181959.000,921680.000,816316.000,646656.000,0.000,2.000
